Left_X,Left_Y,Right_X,Right_Y,Norm_X,Norm_Y,Gaze_Direction
182,321,261,320,0.2564102564102564,0.5,LEFT
182,321,262,320,0.2564102564102564,0.4722222222222222,LEFT
193,321,276,320,0.5128205128205128,0.4722222222222222,CENTER
194,321,277,320,0.5384615384615384,0.4722222222222222,CENTER
195,321,278,320,0.5641025641025641,0.4722222222222222,CENTER
195,321,278,320,0.5641025641025641,0.4722222222222222,CENTER
196,321,279,320,0.5897435897435898,0.4722222222222222,CENTER
197,321,280,320,0.6153846153846154,0.4722222222222222,CENTER
197,321,281,320,0.6153846153846154,0.4722222222222222,CENTER
198,321,281,320,0.6410256410256411,0.4722222222222222,CENTER
208,321,289,320,0.8205128205128205,0.5,RIGHT
209,321,290,320,0.8,0.5,RIGHT
209,321,291,320,0.775,0.5,RIGHT
210,321,291,320,0.775,0.5,RIGHT
210,321,291,320,0.75,0.46875,RIGHT
210,321,291,321,0.7435897435897436,0.5,RIGHT
211,321,292,321,0.7435897435897436,0.5333333333333333,RIGHT
211,321,293,320,0.7435897435897436,0.53125,RIGHT
211,320,293,320,0.725,0.5,RIGHT
211,320,293,320,0.725,0.5,RIGHT
211,320,293,320,0.725,0.5,RIGHT
212,320,293,320,0.75,0.5,RIGHT
212,320,293,320,0.75,0.5,RIGHT
212,320,293,320,0.75,0.5,RIGHT
212,320,293,320,0.75,0.5294117647058824,RIGHT
191,353,274,349,0.3783783783783784,0.29411764705882354,TOP
191,353,275,349,0.3684210526315789,0.25,TOP
192,353,275,349,0.39473684210526316,0.25,TOP
192,353,275,349,0.39473684210526316,0.29411764705882354,TOP
192,353,275,349,0.3783783783783784,0.25,TOP
193,353,275,349,0.40540540540540543,0.29411764705882354,TOP
193,353,276,349,0.40540540540540543,0.29411764705882354,TOP
193,353,276,349,0.40540540540540543,0.29411764705882354,TOP
193,353,276,349,0.39473684210526316,0.29411764705882354,TOP
193,353,276,349,0.39473684210526316,0.29411764705882354,TOP
193,353,276,349,0.38461538461538464,0.29411764705882354,TOP
193,353,276,349,0.3684210526315789,0.29411764705882354,TOP
193,353,276,349,0.3684210526315789,0.29411764705882354,TOP
193,353,276,349,0.3684210526315789,0.2777777777777778,TOP
193,353,276,349,0.3684210526315789,0.2777777777777778,TOP
193,354,276,349,0.3684210526315789,0.2647058823529412,TOP
242,255,315,259,0.5161290322580645,0.8,BOTTOM
239,250,313,257,0.53125,1,BOTTOM
238,251,313,258,0.4827586206896552,0.9375,BOTTOM
239,251,313,257,0.5,1,BOTTOM
239,253,312,257,0.48148148148148145,0.8333333333333334,BOTTOM
240,254,312,258,0.5185185185185185,0.8333333333333334,BOTTOM
240,255,311,258,0.5185185185185185,0.9166666666666666,BOTTOM
239,256,311,259,0.5185185185185185,0.9166666666666666,BOTTOM
240,256,311,259,0.5357142857142857,0.7857142857142857,BOTTOM
240,257,311,260,0.5185185185185185,0.9166666666666666,BOTTOM
240,258,311,261,0.5185185185185185,0.9285714285714286,BOTTOM
241,258,312,260,0.5555555555555556,0.8571428571428571,BOTTOM
242,259,314,261,0.5555555555555556,0.8571428571428571,BOTTOM
243,259,315,261,0.5555555555555556,0.75,BOTTOM
245,260,317,262,0.5714285714285714,0.875,BOTTOM
245,260,319,262,0.5357142857142857,0.875,BOTTOM
247,259,320,262,0.5357142857142857,0.8125,BOTTOM
253,260,325,264,0.5666666666666667,0.8,BOTTOM
250,261,322,265,0.5483870967741935,0.8,BOTTOM
247,262,320,266,0.53125,0.8,BOTTOM
247,263,320,266,0.53125,0.85,BOTTOM
246,263,319,266,0.53125,0.85,BOTTOM
245,263,318,267,0.53125,0.8,BOTTOM
165,329,224,306,0.7368421052631579,0,TOP_RIGHT
165,328,224,307,0.7222222222222222,0,TOP_RIGHT
165,327,225,307,0.6666666666666666,0,TOP
146,367,201,350,0.7058823529411765,0,TOP_RIGHT
147,368,202,351,0.7647058823529411,0,TOP_RIGHT
147,368,204,351,0.7222222222222222,0,TOP_RIGHT
148,368,204,351,0.7647058823529411,0,TOP_RIGHT
148,368,204,351,0.7222222222222222,0,TOP_RIGHT
